Serial Number:20293298 --

Date Time - GMT +05:00,"Temp, (*F)","RH, (%)","DewPt, (*F)",Host Connect,Button Down,EOF,
2018-05-04 09:23:23,48.67,98.02,48.16, , , ,
2018-05-04 09:38:23,48.29,97.11,47.52, , , ,
2018-05-04 09:53:23,48.60,98.42,48.19, , , ,
2018-05-04 10:08:23,48.13,99.08,47.91, , , ,
2018-05-04 10:23:23,48.06,99.08,47.83, , , ,
2018-05-04 10:38:23,47.98,99.11,47.76, , , ,
2018-05-04 10:53:23,47.75,99.43,47.61, , , ,
2018-05-04 11:08:23,47.59,98.66,47.25, , , ,
2018-05-04 11:23:23,47.98,99.11,47.76, , , ,
2018-05-04 11:38:23,47.98,97.54,47.33, , , ,
2018-05-04 11:53:23,48.37,96.79,47.51, , , ,
2018-05-04 12:08:23,48.29,98.76,47.97, , , ,
2018-05-04 12:23:23,48.06,97.54,47.41, , , ,
2018-05-04 12:38:23,49.06,98.10,48.57, , , ,
2018-05-04 12:53:23,49.06,96.04,48.00, , , ,
2018-05-04 13:08:23,48.60,98.02,48.08, , , ,
2018-05-04 13:23:23,47.98,98.31,47.54, , , ,
2018-05-04 13:38:23,47.75,97.83,47.18, , , ,
2018-05-04 13:53:23,47.83,97.51,47.17, , , ,
2018-05-04 14:08:23,47.75,98.29,47.30, , , ,
2018-05-04 14:23:23,47.59,99.00,47.34, , , ,
2018-05-04 14:38:23,47.36,99.03,47.12, , , ,
2018-05-04 14:53:23,47.05,98.98,46.80, , , ,
2018-05-04 15:08:23,46.98,98.95,46.71, , , ,
2018-05-04 15:23:23,46.98,98.18,46.50, , , ,
2018-05-04 15:38:23,46.82,97.33,46.12, , , ,
2018-05-04 15:53:23,46.74,99.27,46.56, , , ,
2018-05-04 16:08:23,46.82,99.72,46.76, , , ,
2018-05-04 16:23:23,46.59,99.64,46.51, , , ,
2018-05-04 16:38:23,46.51,99.98,46.52, , , ,
2018-05-04 16:53:23,46.20,99.61,46.11, , , ,
2018-05-04 17:08:23,46.20,99.95,46.21, , , ,
2018-05-04 17:23:23,46.20,99.58,46.11, , , ,
2018-05-04 17:38:23,46.20,99.61,46.11, , , ,
2018-05-04 17:53:23,46.05,99.61,45.96, , , ,
2018-05-04 18:08:23,46.05,99.98,46.06, , , ,
2018-05-04 18:23:23,46.05,99.98,46.06, , , ,
2018-05-04 18:38:23,46.13,99.98,46.13, , , ,
2018-05-04 18:53:23,46.05,99.98,46.06, , , ,
2018-05-04 19:08:23,46.05,99.98,46.06, , , ,
2018-05-04 19:23:23,45.97,99.98,45.98, , , ,
2018-05-04 19:38:23,45.97,99.98,45.98, , , ,
2018-05-04 19:53:23,46.20,99.98,46.21, , , ,
2018-05-04 20:08:23,46.05,99.98,46.06, , , ,
2018-05-04 20:23:23,46.05,99.98,46.06, , , ,
2018-05-04 20:38:23,45.89,99.98,45.90, , , ,
2018-05-04 20:53:23,45.97,99.98,45.98, , , ,
2018-05-04 21:08:23,45.82,99.16,45.61, , , ,
2018-05-04 21:23:23,45.59,99.13,45.37, , , ,
2018-05-04 21:38:23,45.43,98.71,45.10, , , ,
2018-05-04 21:53:23,45.43,99.11,45.21, , , ,
2018-05-04 22:08:23,45.43,99.06,45.19, , , ,
2018-05-04 22:23:23,45.51,99.08,45.28, , , ,
2018-05-04 22:38:23,45.35,99.82,45.32, , , ,
2018-05-04 22:53:23,45.28,99.98,45.28, , , ,
2018-05-04 23:08:23,45.35,99.98,45.36, , , ,
2018-05-04 23:23:23,45.28,99.98,45.28, , , ,
2018-05-04 23:38:23,45.28,99.82,45.24, , , ,
2018-05-04 23:53:23,45.28,99.87,45.26, , , ,
2018-05-05 00:08:23,45.28,99.82,45.24, , , ,
2018-05-05 00:23:23,45.35,99.87,45.33, , , ,
2018-05-05 00:38:23,45.43,99.98,45.44, , , ,
2018-05-05 00:53:23,45.35,99.98,45.36, , , ,
2018-05-05 01:08:23,45.43,99.98,45.44, , , ,
2018-05-05 01:23:23,45.28,99.87,45.26, , , ,
2018-05-05 01:38:23,45.28,99.98,45.28, , , ,
2018-05-05 01:53:23,45.05,99.98,45.05, , , ,
